reading_id,farm_id,date,temperature_f,precipitation_in
133,17,2024-06-28,58.5,0.21
134,5,2025-05-30,50.6,1.89
135,33,2024-09-20,91.33,1.63
136,17,2025-12-11,60.99,0.75
137,31,2024-09-06,83.02,1.92
138,30,2025-11-28,62.25,1.17
139,2,2025-05-08,38.14,0.14
140,15,2025-11-24,79.08,1.6
141,27,2024-12-27,66.16,0.02
142,17,2024-09-11,50.11,0.8
143,22,2024-03-18,68.82,0.36
144,21,2024-12-28,45.3,1.15
145,12,2025-11-30,95.12,0.38
146,13,2024-08-28,81.48,1.75
147,14,2024-08-22,44.19,0.5
148,23,2024-06-08,84.53,0.24
149,6,2025-11-23,96.9,0.99
150,1,2025-07-08,97.06,1.7
151,24,2025-09-27,52.08,1.8
152,18,2025-05-17,42.8,1.53
153,33,2024-10-13,57.85,1.5
154,9,2024-02-25,66.8,0.85
155,35,2024-02-03,65.17,0.79
156,12,2025-04-13,98.36,1.4
157,30,2024-11-19,78.24,0.02
158,14,2025-01-23,70.67,0.65
159,17,2024-07-10,68.4,0.47
160,31,2025-09-19,54.02,0.37
161,28,2024-08-03,59.34,1.5
162,24,2025-02-14,49.57,0.36
163,9,2025-08-12,78.02,1.63
164,18,2024-08-29,68.87,1.71
165,13,2024-05-29,86.0,1.48
166,31,2024-01-10,42.36,1.0
167,34,2025-06-30,80.44,1.57
168,20,2024-09-13,69.35,1.14
169,26,2024-04-11,78.34,0.12
170,17,2025-05-02,88.73,0.19
171,22,2024-09-23,55.27,1.12
172,17,2024-12-18,31.39,0.24
173,13,2025-08-13,70.31,1.3
174,12,2024-10-18,54.86,1.35
175,32,2025-04-02,92.27,0.76
176,19,2025-04-19,74.22,0.29
177,11,2025-10-17,86.54,0.67
178,26,2024-03-14,35.54,0.69
179,21,2024-11-20,75.71,1.42
180,26,2024-10-04,92.14,1.56
181,24,2025-08-24,66.47,0.9
182,11,2024-07-07,89.79,0.25
183,16,2025-11-08,47.62,1.49
184,6,2024-08-03,41.68,0.21
185,5,2025-04-29,68.39,0.05
186,26,2025-06-20,83.55,0.17
187,17,2025-09-24,40.87,1.31
188,25,2024-11-12,46.05,1.48
189,29,2025-10-03,38.85,1.05
190,11,2024-01-30,32.46,0.71
191,21,2025-05-02,62.7,1.74
192,18,2025-07-15,61.14,1.94
193,35,2024-06-30,71.36,0.91
194,28,2025-06-20,74.79,1.07
195,23,2025-05-08,67.78,1.61
196,29,2024-11-11,55.6,0.52
197,20,2024-01-11,30.01,1.63
198,9,2024-12-18,50.07,1.07
199,32,2025-05-03,50.97,1.53
200,19,2025-09-03,46.19,0.01
201,24,2024-07-12,58.82,1.12
202,26,2024-09-12,41.43,1.47
203,25,2025-01-22,45.44,0.16
204,16,2025-06-13,83.52,1.82
205,18,2024-10-18,75.39,1.06
206,18,2025-02-26,43.16,0.14
207,9,2024-10-23,37.72,0.91
208,29,2024-10-05,79.03,0.98
209,21,2024-01-20,40.65,1.94
210,2,2024-07-09,98.06,0.56
211,9,2025-03-24,80.9,0.47
212,10,2024-01-16,64.55,0.68
213,20,2025-05-25,99.86,0.93
214,3,2024-12-04,35.62,1.5
215,10,2024-02-27,48.66,0.78
216,35,2025-04-26,42.71,1.79
217,17,2025-01-25,87.98,0.24
218,16,2025-01-29,83.99,0.89
219,3,2024-07-22,62.26,1.54
220,34,2025-11-12,98.75,0.95
221,20,2024-11-26,41.1,1.46
222,36,2025-06-17,38.55,0.96
223,20,2024-07-22,55.23,0.1
224,14,2024-04-25,46.52,0.87
225,1,2024-06-20,85.61,1.17
226,26,2024-09-05,30.63,0.08
227,31,2025-12-05,71.73,0.74
228,6,2024-09-11,41.04,0.18
229,22,2025-10-02,34.2,0.71
230,10,2025-12-19,67.54,0.21
231,32,2024-08-26,52.17,1.12
232,23,2025-03-25,81.32,0.04
233,25,2025-01-01,80.71,0.5
234,3,2025-05-11,79.46,1.12
235,35,2025-12-14,64.31,1.13
236,35,2024-12-22,52.66,0.94
237,36,2024-06-13,34.82,0.31
238,19,2024-09-26,67.91,0.91
239,33,2025-01-23,81.36,1.77
240,24,2025-09-27,46.72,1.44
241,35,2025-01-31,43.29,1.37
242,36,2024-06-06,72.91,0.65
243,21,2024-04-23,36.74,1.32
244,3,2024-05-12,42.5,0.06
245,7,2025-05-12,43.41,0.06
246,25,2025-11-04,64.29,1.25
247,17,2024-02-20,55.64,1.21
248,5,2024-01-14,95.11,0.42
249,32,2024-03-22,62.76,1.28
250,24,2025-07-25,82.04,1.78
251,24,2025-12-26,34.08,1.23
252,34,2024-02-11,81.4,1.67
253,5,2024-08-09,97.24,0.19
254,15,2025-06-28,56.97,0.39
255,16,2025-08-06,73.77,0.36
256,36,2025-03-01,82.23,1.53
257,23,2025-11-21,62.11,1.33
258,7,2024-06-19,85.47,1.1
259,33,2024-12-11,76.03,1.07
260,29,2024-12-26,93.17,1.1
261,21,2025-01-15,58.86,1.27
262,21,2025-09-15,46.85,1.09
263,25,2025-07-17,94.83,0.51
264,29,2025-04-03,97.19,0.0
265,3,2024-10-18,71.7,1.04
266,20,2024-01-07,51.02,0.44
267,21,2024-01-23,84.01,1.89
268,18,2025-07-20,65.79,1.14
269,10,2024-04-06,32.64,0.71
270,9,2024-09-28,55.7,1.16
271,15,2024-09-19,86.78,0.18
272,26,2025-08-05,94.25,1.47
273,21,2025-05-09,42.1,1.65
274,7,2025-09-01,74.96,0.07
275,25,2024-03-21,84.61,1.84
276,22,2024-12-22,91.59,0.87
277,8,2024-08-20,82.34,1.7
278,1,2025-10-11,84.42,0.76
279,20,2025-06-20,32.88,1.08
280,10,2024-11-30,65.17,0.44
281,4,2025-11-20,81.21,0.79
282,29,2025-09-01,70.27,0.18
283,28,2024-10-23,85.05,0.3
284,22,2024-03-25,63.31,1.49
285,36,2025-02-12,48.38,0.8
286,28,2025-12-15,39.13,0.27
287,36,2024-07-21,64.15,1.3
288,13,2025-07-28,73.12,1.47
289,16,2024-09-05,35.02,1.55
290,21,2025-12-02,94.69,0.18
291,27,2025-03-09,55.57,0.38
292,23,2025-08-31,75.88,1.54
293,11,2024-12-24,73.14,1.98
294,29,2025-09-30,40.21,0.09
295,15,2024-07-23,77.98,0.31
296,6,2024-04-25,81.77,0.49
297,10,2024-10-21,30.96,1.39
298,8,2024-11-08,61.5,0.05
299,14,2025-07-04,44.83,1.09
300,17,2025-07-15,63.81,1.46
301,10,2025-12-12,78.91,0.04
302,34,2024-02-14,47.88,0.12
303,13,2025-12-14,73.26,0.11
304,1,2024-03-09,57.21,0.54
305,24,2024-04-20,31.34,1.73
306,25,2024-08-24,98.59,1.02
307,7,2024-11-19,63.93,1.19
308,6,2024-07-09,43.92,1.93
309,36,2025-12-30,31.5,0.49
310,34,2024-11-08,53.35,0.79
311,11,2024-01-19,54.27,0.7
312,20,2024-08-29,99.72,1.96
313,18,2024-03-04,73.81,1.76
314,2,2025-07-22,96.44,0.45
315,22,2025-02-06,75.99,0.18
316,25,2025-06-17,97.24,1.22
317,15,2025-03-03,46.83,0.31
318,20,2025-09-11,53.05,1.08
319,14,2025-10-30,39.7,1.08
320,13,2024-05-21,51.63,1.41
321,34,2024-05-18,60.1,1.82
322,10,2025-11-02,95.31,1.83
323,21,2024-03-10,69.01,1.9
324,8,2024-07-07,52.23,1.76
325,2,2024-11-22,91.61,0.83
326,27,2024-11-06,61.01,1.87
327,18,2024-06-04,84.54,0.21
328,12,2024-01-27,83.37,1.22
329,18,2025-09-12,69.69,0.46
330,15,2024-08-24,78.12,0.72
331,31,2024-05-17,65.16,1.21
332,24,2024-07-07,89.65,0.98
333,9,2024-06-16,43.53,0.06
334,1,2024-10-03,96.51,0.45
335,13,2024-07-28,34.63,1.85
336,29,2025-09-23,64.3,0.65
337,30,2024-09-09,59.93,1.55
338,25,2024-11-16,57.59,1.88
339,35,2025-06-21,74.9,1.41
340,3,2025-06-17,37.65,0.91
341,3,2024-09-08,66.31,0.79
342,3,2025-07-25,57.12,1.53
343,4,2024-07-13,50.38,0.8
344,20,2024-10-19,62.29,0.84
345,4,2025-12-07,66.19,0.28
346,29,2024-04-02,80.59,0.23
347,35,2024-05-18,57.51,0.65
348,2,2024-07-02,61.76,1.79
349,13,2025-04-10,36.31,0.65
350,11,2024-05-06,36.38,1.41
351,24,2024-03-28,66.67,0.77
352,33,2025-09-18,96.48,0.76
353,25,2024-02-14,83.78,1.82
354,10,2024-06-15,90.82,0.36
355,4,2025-03-05,51.56,1.46
356,29,2024-10-22,73.85,0.24
357,9,2024-07-26,30.25,1.53
358,1,2025-04-14,64.83,1.0
359,1,2025-09-14,91.79,0.48
360,31,2025-04-09,58.71,0.16
361,1,2024-09-07,91.75,0.56
362,36,2024-07-31,33.42,0.3
363,23,2024-02-07,40.18,0.06
364,20,2024-12-05,94.43,0.1
365,27,2024-07-01,41.29,0.57
366,36,2024-06-30,97.64,1.5
367,24,2024-02-06,36.52,0.6
368,24,2025-01-23,87.42,1.52
369,36,2024-03-07,50.5,0.27
370,18,2024-12-03,66.89,1.05
371,14,2025-09-18,34.07,1.14
372,34,2024-03-30,63.86,1.38
373,19,2025-03-13,72.62,0.63
374,34,2025-08-11,99.65,0.71
375,9,2025-09-21,69.38,1.04
376,32,2025-05-19,86.56,1.77
377,15,2025-12-26,50.33,0.39
378,8,2024-01-25,62.54,1.59
379,14,2025-09-22,99.93,0.83
380,22,2024-12-24,69.23,1.28
381,1,2025-10-17,44.08,0.56
382,5,2024-11-11,51.02,1.1
383,1,2024-04-26,78.01,0.68
384,2,2024-06-28,43.58,1.67
385,31,2025-04-30,85.81,1.29
386,31,2024-06-08,73.9,1.78
387,35,2024-12-09,62.37,1.63
388,4,2025-06-17,50.95,1.45
389,21,2025-07-22,67.51,0.42
390,22,2024-12-28,34.63,0.3
391,2,2024-12-13,98.85,1.25
392,11,2025-08-07,72.4,0.37
393,8,2024-11-11,79.37,0.63
394,3,2024-10-05,58.97,0.99
395,16,2025-01-15,61.63,1.9
396,14,2025-06-21,51.16,0.22
397,3,2024-07-25,93.93,0.89
398,2,2025-05-09,93.35,0.31
399,22,2025-05-10,81.27,1.05
400,21,2024-05-26,83.86,0.2
401,34,2025-11-23,99.49,0.41
402,3,2025-04-15,57.13,1.73
403,8,2024-01-05,51.77,0.09
404,6,2024-12-07,62.68,0.09
405,34,2025-11-05,82.19,0.04
406,20,2025-10-16,92.45,0.64
407,13,2024-10-20,49.37,0.64
408,29,2025-11-18,38.24,0.3
409,18,2024-04-27,31.07,1.25
410,33,2024-04-14,44.46,0.7
411,21,2024-10-04,39.91,1.41
412,19,2025-08-10,47.14,0.14
413,22,2025-07-07,61.06,0.26
414,31,2025-11-22,33.53,0.77
415,6,2025-03-12,57.43,1.41
416,29,2025-09-23,54.89,0.66
417,13,2025-12-31,83.09,1.62
418,6,2025-04-21,69.75,0.19
419,30,2024-04-09,61.89,1.37
420,30,2025-04-26,46.22,0.45
421,17,2025-01-07,57.45,1.4
422,22,2024-11-28,61.73,0.06
423,31,2024-04-25,54.6,0.92
424,11,2024-10-16,83.76,1.21
425,9,2025-06-04,37.21,1.64
426,7,2024-11-29,68.93,0.14
427,20,2025-06-29,62.27,1.18
428,16,2025-09-27,47.06,0.32
429,31,2025-01-28,34.62,0.42
430,28,2025-03-21,69.7,0.68
431,16,2024-06-26,76.38,0.16
432,32,2024-04-27,71.45,0.93
433,36,2024-04-09,87.54,0.35
434,26,2024-03-12,71.88,1.37
435,25,2024-12-01,64.6,1.32
436,6,2024-08-10,87.19,1.77
437,1,2024-05-30,76.26,0.91
438,19,2025-02-03,73.09,0.89
439,14,2025-11-28,91.42,0.6
440,20,2025-03-21,80.25,1.83
441,6,2025-08-19,30.57,1.97
442,26,2024-05-10,89.68,0.12
443,36,2024-02-24,30.06,1.12
444,23,2024-04-22,90.29,1.73
445,16,2025-03-18,79.16,0.79
446,21,2025-12-29,56.8,0.76
447,35,2024-08-04,76.37,0.95
448,13,2025-07-22,56.92,1.85
449,27,2024-06-06,50.19,1.75
450,9,2024-05-17,30.81,1.3
451,10,2025-05-13,76.05,1.95
452,9,2024-03-27,39.61,1.61
453,30,2025-12-13,72.31,0.85
454,12,2025-04-10,65.66,1.1
455,29,2025-01-28,54.87,0.37
456,1,2025-08-14,64.87,1.46
457,33,2024-10-02,58.76,1.09
458,24,2024-02-04,98.48,1.14
459,24,2024-04-25,70.62,1.92
460,6,2024-05-25,81.11,1.05
461,18,2025-04-21,66.19,1.05
462,6,2024-09-08,63.07,1.48
463,5,2025-12-01,74.36,1.6
464,20,2025-09-19,33.69,0.69
465,1,2025-04-25,61.78,1.81
466,22,2025-03-07,54.7,1.96
467,19,2024-10-23,41.73,1.39
468,20,2025-07-31,48.23,1.26
469,11,2025-08-09,33.61,1.98
470,2,2024-10-20,63.93,0.25
471,5,2024-10-11,47.64,1.23
472,18,2024-09-20,30.99,0.22
473,12,2025-08-28,81.73,1.32
474,24,2024-06-28,48.29,1.4
475,32,2024-07-04,85.96,1.72
476,22,2024-03-27,97.71,1.19
477,10,2025-05-22,82.69,0.83
478,25,2024-08-31,76.25,1.45
479,11,2024-08-03,70.44,1.68
480,4,2025-10-19,48.51,1.64
481,4,2024-06-20,62.48,0.95
482,31,2025-06-29,46.36,1.37
483,25,2025-04-30,48.38,1.06
484,28,2024-01-13,50.22,1.59
485,25,2025-11-25,52.1,1.06
486,3,2024-04-09,94.24,1.27
487,28,2025-09-17,94.26,1.72
488,22,2024-10-03,48.7,0.2
489,26,2025-04-17,84.12,1.5
490,13,2025-06-16,53.62,1.38
491,12,2024-11-16,68.33,1.35
492,5,2024-01-13,58.79,1.05
493,29,2024-12-25,45.36,0.57
494,13,2024-02-04,31.66,0.18
495,14,2025-09-05,74.67,1.42
496,8,2024-03-29,89.95,0.26
497,12,2024-04-23,78.7,0.51
498,30,2025-11-07,95.53,1.28
499,18,2025-03-13,78.46,1.34
500,21,2024-09-20,41.34,0.15
501,4,2025-01-26,57.2,1.99
502,17,2024-09-28,42.46,0.14
503,13,2025-09-16,57.48,1.29
504,7,2024-05-27,67.84,0.86
505,7,2025-03-28,80.08,0.21
506,5,2024-03-13,69.99,0.5
507,29,2024-01-20,92.76,0.3
508,1,2024-02-08,76.52,0.53
509,22,2025-02-04,70.22,1.03
510,32,2025-05-04,60.52,1.69
511,5,2025-07-07,45.81,0.77
512,31,2024-05-04,69.71,1.87
513,23,2024-12-07,77.73,0.8
514,6,2025-01-09,67.42,1.92
515,6,2025-04-15,83.23,0.58
516,13,2024-06-29,68.81,1.94
517,13,2024-11-02,78.71,1.79
518,23,2025-05-13,35.94,1.27
519,13,2024-05-23,32.5,0.05
520,16,2025-05-15,57.21,1.59
521,20,2025-05-26,67.38,1.67
522,29,2024-01-17,32.59,0.11
523,3,2025-02-19,38.27,1.61
524,34,2025-04-14,95.81,1.74
525,35,2024-06-01,81.87,0.47
526,5,2024-02-07,81.48,0.98
527,2,2025-04-27,93.5,1.24
528,16,2025-12-19,75.42,0.03
529,4,2024-11-10,87.45,0.19
530,11,2025-08-28,34.48,1.63
531,8,2025-05-24,71.65,1.23
532,5,2024-07-26,59.83,1.62
533,26,2024-11-28,38.46,1.37
534,35,2024-05-20,52.51,1.93
535,14,2024-02-16,71.52,0.67
536,8,2024-10-07,39.89,0.83
537,24,2025-07-20,41.55,0.49
538,3,2024-05-16,37.0,1.69
539,25,2024-06-10,31.09,0.97
540,1,2024-01-08,42.56,0.18
541,19,2025-03-02,78.55,1.58
542,31,2025-12-09,38.88,0.29
543,18,2025-06-19,61.53,0.48
544,12,2025-09-17,78.42,1.19
545,32,2025-09-18,96.52,1.25
546,20,2024-12-22,59.32,1.12
547,13,2024-04-30,99.06,1.95
548,24,2025-07-06,65.53,0.93
549,14,2024-10-10,33.71,0.23
550,10,2025-12-02,89.06,1.82
551,32,2024-06-29,41.18,1.85
552,4,2025-10-22,55.49,0.42
553,17,2024-12-08,73.18,1.78
554,30,2024-02-14,37.31,0.1
555,35,2024-06-29,41.06,0.06
556,33,2024-04-28,34.96,0.47
557,29,2025-08-29,70.58,0.84
558,21,2024-08-23,84.53,0.65
559,7,2024-08-30,81.64,1.74
560,25,2024-08-13,35.15,1.17
561,4,2025-03-22,40.15,1.86
562,30,2024-07-01,57.11,0.27
563,13,2025-10-09,55.1,0.54
564,22,2024-05-10,32.25,1.14
565,18,2024-05-19,37.78,0.93
566,27,2024-06-24,83.22,0.44
567,19,2025-09-10,40.98,1.59
568,11,2025-08-14,97.91,1.71
569,6,2025-02-25,89.99,0.98
570,14,2025-08-28,63.14,0.93
571,1,2025-03-14,81.53,0.49
572,21,2025-03-20,70.56,1.78
573,10,2025-08-10,92.88,0.84
574,3,2024-02-11,99.39,1.47
575,33,2024-02-04,59.8,0.79
576,7,2025-04-08,64.67,0.17
577,1,2025-12-10,81.23,1.9
578,9,2025-01-02,50.71,1.3
579,6,2024-01-17,63.58,0.61
580,30,2025-08-07,82.31,0.05
581,30,2025-04-19,84.03,1.75
582,26,2024-07-08,85.29,0.74
583,30,2025-12-21,74.34,1.72
584,5,2025-01-29,92.54,0.67
585,3,2024-10-30,59.81,0.54
586,35,2025-08-12,85.61,1.58
587,6,2025-09-27,91.66,1.47
588,4,2025-06-11,96.17,1.35
589,4,2024-04-23,56.81,0.93
590,3,2025-01-09,55.65,1.3
591,5,2025-07-28,79.65,0.41
592,22,2024-09-01,67.77,1.3
593,14,2024-08-18,52.43,1.8
594,33,2025-11-27,59.61,0.11
595,24,2024-12-19,61.67,1.0
596,8,2025-04-26,79.69,1.36
597,35,2024-10-26,61.64,0.74
598,5,2024-07-11,92.43,0.92
599,6,2025-02-04,92.86,0.58
600,5,2024-04-21,41.53,0.22
601,10,2025-05-23,40.53,0.41
602,2,2024-10-27,59.16,1.36
603,9,2025-04-30,54.27,0.89
604,2,2024-10-25,43.23,0.04
605,15,2025-06-16,75.13,0.82
606,22,2025-11-02,75.22,0.65
607,34,2025-07-15,61.17,0.61
608,9,2024-11-09,42.02,0.52
609,31,2025-01-15,97.95,1.54
610,4,2024-05-31,54.72,0.91
611,11,2025-09-25,94.69,1.42
612,19,2024-07-05,98.12,1.68
613,10,2024-06-14,46.65,0.08
614,21,2025-08-11,38.85,0.52
615,12,2024-07-29,69.37,0.07
616,21,2024-12-18,40.36,0.9
617,11,2025-06-30,51.11,1.84
618,26,2025-05-26,83.8,1.9
619,21,2024-06-08,30.3,1.48
620,33,2024-12-05,75.31,0.59
621,19,2025-08-10,76.68,1.6
622,29,2024-12-12,78.24,1.46
623,3,2024-05-22,77.46,0.23
624,2,2025-02-15,73.23,0.44
625,23,2024-04-04,52.85,1.22
626,13,2025-08-20,66.85,1.56
627,18,2024-07-19,31.58,1.08
628,29,2025-11-24,77.01,0.17
629,33,2025-02-07,43.61,0.64
630,33,2024-02-27,93.59,0.72
631,10,2025-03-13,55.87,0.75
632,19,2024-12-19,54.59,1.96
633,36,2024-03-30,45.1,1.78
634,27,2025-03-29,50.2,1.61
635,28,2025-02-28,39.77,1.17
636,6,2024-05-27,44.54,0.95
637,34,2024-12-09,34.63,1.92
638,25,2024-03-31,30.46,1.28
639,18,2025-02-28,42.24,0.92
640,9,2024-07-23,43.02,0.76
641,36,2025-05-17,32.96,1.65
642,20,2025-05-20,69.15,0.93
643,2,2024-01-03,40.78,0.6
644,31,2024-05-07,75.77,1.79
645,27,2024-07-02,64.43,1.38
646,16,2024-01-30,38.35,0.55
647,5,2025-09-05,82.19,1.16
648,28,2024-09-21,73.96,0.95
649,8,2025-01-17,65.88,1.15
650,17,2024-06-15,70.72,0.29
651,30,2025-12-10,39.48,0.33
652,18,2025-01-04,59.37,1.82
653,23,2024-02-19,50.29,1.06
654,5,2025-06-10,43.57,1.26
655,7,2025-09-05,82.68,1.09
656,21,2025-12-02,85.99,0.54
657,24,2024-04-08,67.41,0.7
658,10,2024-01-14,39.59,0.56
659,32,2025-02-25,53.82,1.82
660,7,2024-08-11,40.82,0.44
661,13,2025-07-26,72.94,1.66
662,34,2025-06-28,79.88,1.4
663,8,2025-03-03,62.23,0.15
664,9,2024-01-18,63.57,0.62
665,24,2024-05-22,87.19,1.78
666,34,2024-12-16,42.05,0.61
667,8,2024-08-15,39.01,1.39
668,15,2024-11-10,38.77,0.26
669,6,2025-03-11,78.36,1.57
670,5,2024-01-20,84.23,1.51
671,3,2024-07-20,37.55,1.59
672,33,2025-08-30,34.15,0.24
673,17,2024-02-14,34.64,1.34
674,7,2024-05-06,94.41,0.41
675,13,2024-07-08,76.94,0.06
676,10,2024-10-11,96.42,0.7
677,11,2025-05-27,84.66,1.23
678,33,2025-08-06,34.78,1.64
679,1,2025-06-25,45.19,0.38
680,19,2024-06-24,93.12,1.07
681,7,2024-08-07,94.43,1.7
682,31,2025-01-10,78.87,0.37
683,7,2024-07-04,88.43,1.96
684,28,2024-08-07,66.0,0.82
685,21,2024-05-06,62.61,1.04
686,32,2025-01-04,79.33,1.11
687,3,2024-03-25,52.97,0.23
688,19,2025-04-12,72.03,0.62
689,29,2024-08-19,68.77,0.58
690,28,2024-07-12,89.97,1.79
691,31,2025-11-26,55.72,0.03
692,32,2025-11-19,37.36,0.88
693,6,2024-05-02,40.04,0.8
694,7,2024-06-21,34.53,1.95
695,22,2024-07-24,71.65,1.98
696,8,2024-08-26,88.67,1.45
697,18,2025-12-31,83.62,1.19
698,26,2024-12-30,63.31,1.21
699,26,2025-05-11,65.8,0.29
700,30,2024-04-20,38.55,0.98
701,15,2025-10-05,95.97,0.06
702,4,2024-03-10,64.87,0.05
703,12,2025-01-26,72.32,0.65
704,20,2025-09-28,73.63,1.52
705,34,2025-05-19,85.49,0.4
706,32,2025-05-17,65.34,1.08
707,35,2025-07-13,31.24,1.53
708,28,2024-05-01,56.85,0.63
709,25,2025-03-29,62.18,0.07
710,36,2025-11-06,90.23,0.61
711,11,2025-05-18,60.15,0.62
712,25,2025-05-14,83.48,1.14
713,32,2025-11-06,68.76,1.08
714,31,2025-05-02,69.36,0.31
715,4,2025-02-04,48.44,1.18
716,25,2025-09-23,77.35,1.53
717,19,2024-11-24,34.3,1.18
718,9,2025-01-10,54.42,1.48
719,2,2025-10-02,53.89,0.19
720,23,2024-12-31,58.84,0.11
721,16,2024-09-10,46.42,0.62
722,6,2025-12-05,34.59,0.61
723,22,2024-06-22,31.38,0.65
724,30,2025-11-04,90.44,1.14
725,27,2024-09-30,31.43,0.94
726,2,2024-11-20,56.44,0.78
727,7,2025-05-15,37.0,1.35
728,22,2025-05-23,65.19,1.53
729,22,2024-06-19,73.04,0.73
730,28,2024-07-25,64.79,1.69
731,5,2025-07-02,44.99,0.53
732,20,2025-08-10,58.14,0.45
733,6,2025-08-15,36.63,0.67
734,5,2025-08-03,86.08,0.95
